gbifID,countryCode,acceptedScientificName,specificEpithet,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet.1,infraspecificEpithet,cultivarEpithet,speciesKey,identifier
1055316844,,"Limea pygmaea (R.A.Philippi, 1845)",pygmaea,Bivalvia,Limida,,Limidae,,,,Limea,Limatula,,,pygmaea,,,6530465.0,https://data.nhm.ac.uk/media/fded259b-bde6-4647-b14d-d745c71f71d4
1056688064,YE,"Pinna Linnaeus, 1758",,Bivalvia,Ostreida,,Pinnidae,,,,Pinna,Pinna,,,,,,,https://data.nhm.ac.uk/media/5d770f95-7059-4047-a6cf-a5e2b0742871
1056379971,MY,"Venerupis aspera (Quoy & Gaimard, 1835)",variegata,Bivalvia,Venerida,,Veneridae,,,,Venerupis,Tapes,,,variegata,,,6524265.0,https://data.nhm.ac.uk/media/d0b64b10-739a-4a10-bb96-e46cb4ec4d49
1056467664,MX,"Anodonta Lamarck, 1799",,Bivalvia,Unionida,,Unionidae,,,,Anodonta,Anodonta,,,,,,,https://data.nhm.ac.uk/media/8a494d2e-b99b-4eab-b017-a810f0c9eab5
1056653229,VN,"Unio Philipsson, 1788",,Bivalvia,Unionida,,Unionidae,,,,Unio,Unio,,,,,,,https://data.nhm.ac.uk/media/1f3e1deb-2a1f-4994-b202-2236d72488e5
1057173469,,"Channelaxinus investigatoris (E.A.Smith, 1895)",investigatoris,Bivalvia,Lucinida,,Thyasiridae,,,,Channelaxinus,Cryptodon,,,investigatoris,,,8101528.0,https://data.nhm.ac.uk/media/fa53728e-269d-4833-b1a1-d9970557ea2d
1057031404,US,"Cardium Linnaeus, 1758",,Bivalvia,Cardiida,,Cardiidae,,,,Cardium,Cardium,,,,,,,https://data.nhm.ac.uk/media/aff5e544-1ebc-4fb2-b1e6-dccc1662d972
1056296446,AG,"Tellinella mexicana (Petit de la Saussaye, 1841)",antonii,Bivalvia,Cardiida,,Tellinidae,,,,Tellinella,Tellina,,,antonii,,,8655003.0,https://data.nhm.ac.uk/media/abf95f97-1d75-48de-9d8c-d9f47079b9da
1056237913,AU,"Lasaea T.Brown, 1827",,Bivalvia,Galeommatida,,Lasaeidae,,,,Lasaea,Anapa,,,,,,,https://data.nhm.ac.uk/media/2f9db5ce-ca2b-4581-b40d-a281fa20edf5
1057109926,,"Eurytellina trinitatis Tomlin, 1929",trinitatis,Bivalvia,Cardiida,,Tellinidae,,,,Eurytellina,Eurytellina,,,trinitatis,,,6527915.0,https://data.nhm.ac.uk/media/4ec1ff80-6c53-4349-895a-ba7807b68b24
1056735129,TZ,"Placamen foliaceum (R.A.Philippi, 1846)",foliacea,Bivalvia,Venerida,,Veneridae,,,,Placamen,Clausinella,,,foliacea,,,6524892.0,https://data.nhm.ac.uk/media/6159f918-660a-4ce6-87bd-d2176299f948
1057328483,PY,"Mycetopoda d'Orbigny, 1835",,Bivalvia,Unionida,,Mycetopodidae,,,,Mycetopoda,Mycetopoda,,,,,,,https://data.nhm.ac.uk/media/7355032b-b42d-434b-bbd9-402dcd372b78
1056029520,ID,"Siliqua radiata (Linnaeus, 1758)",radiata,Bivalvia,Adapedonta,,Pharidae,,,,Siliqua,Siliqua,,,radiata,,,5793976.0,https://data.nhm.ac.uk/media/d247a264-8f5a-4d02-9f31-37fb63440eac
1056159246,,"Petricolaria pholadiformis (Lamarck, 1818)",pholadiformis,Bivalvia,Venerida,,Veneridae,,,,Petricolaria,Petricola,,,pholadiformis,,,2287615.0,https://data.nhm.ac.uk/media/5b3c6260-542a-44ed-b6d5-f4320379fad3
1057592842,,"Potomida semirugata (Lamarck, 1819)",chinnerethensis,Bivalvia,Unionida,,Unionidae,,,,Potomida,Unio,,,chinnerethensis,,,9763143.0,https://data.nhm.ac.uk/media/ecd56aac-0057-43f5-adf5-458e71b008d3
1056175785,PH,"Periglypta corbis (Lamarck, 1818)",monilifera,Bivalvia,Venerida,,Veneridae,,,,Periglypta,Venus,,,monilifera,,,4590381.0,https://data.nhm.ac.uk/media/7db07b3b-b3af-417e-a578-9eb9628875ac
1056572673,US,"Dacrydium ockelmanni Mattson & Warén, 1977",ockelmanni,Bivalvia,Mytilida,,Mytilidae,,,,Dacrydium,Dacrydium,,,ockelmanni,,,5188824.0,https://data.nhm.ac.uk/media/7f9c99bf-d26d-4bb8-b8aa-5e39e7b7dc41
1057520931,AU,"Megacardita turgida (Lamarck, 1819)",incrassatus,Bivalvia,Carditida,,Carditidae,,,,Megacardita,Cardita,,,incrassatus,,,4590984.0,https://data.nhm.ac.uk/media/41b5401a-5756-4a47-a17a-9262e8d979e9
1057180208,JP,"Anodonta Lamarck, 1799",,Bivalvia,Unionida,,Unionidae,,,,Anodonta,Anodonta,,,,,,,https://data.nhm.ac.uk/media/70fe6f72-5bd1-44ea-9682-b90da5400539
1057317512,,"Isognomon perna (Linnaeus, 1767)",costellata,Bivalvia,Ostreida,,Isognomonidae,,,,Isognomon,Perna,,,costellata,,,4374568.0,https://data.nhm.ac.uk/media/93892dd9-5017-46ef-b8f1-5750f4a89430
1055539087,CN,"Cyclina Deshayes, 1850",,Bivalvia,Venerida,,Veneridae,,,,Cyclina,Cyclina,,,,,,,https://data.nhm.ac.uk/media/a26aff1a-3058-45b3-88fd-3779b2cc9339
